name;year;sex;births;prop;rank;rank_change_yoy
Abigail;2020;f;23;0.000644962;333;116
Abigail;2021;f;20;0.000534688;392;-59
Abigail;2022;f;18;0.000503243;393;-1
Abigaël;2000;f;1;3.33E-05;1166;
Abigaël;2001;f;1;3.54E-05;1162;4
Abigaël;2002;f;1;3.55E-05;1216;-54
Abigaël;2003;f;1;3.57E-05;1256;-40
Abigaël;2004;f;3;0.000103821;963;293
Abigaël;2005;f;4;0.000138394;866;97
Abigaël;2006;f;1;3.44E-05;1435;-569
Abigaël;2007;f;4;0.000134188;937;498
Abigaël;2008;f;3;9.81E-05;1050;-113
Abigaël;2009;f;2;6.38E-05;1284;-234
Abigaël;2010;f;2;6.14E-05;1339;-55
Abigaël;2011;f;4;0.00012259;1038;301
Abigaël;2012;f;2;6.01E-05;1400;-362
Abigaël;2014;f;4;0.000114712;1117;
Abigaël;2015;f;6;0.000168738;906;211
Abigaël;2016;f;3;8.24E-05;1335;-429
Abigaël;2017;f;3;8.31E-05;1345;-10
Abigaël;2018;f;1;2.74E-05;1882;-537
Abigaël;2019;f;2;5.56E-05;1606;276
Abigaël;2020;f;3;8.41E-05;1378;228
Abigaël;2021;f;2;5.35E-05;1600;-222
Abigaël;2022;f;3;8.39E-05;1431;169
Abigaëlle;2002;f;1;3.55E-05;1216;
Abigaëlle;2003;f;1;3.57E-05;1256;-40
Abigaëlle;2005;f;1;3.46E-05;1348;
Abigaëlle;2006;f;2;6.87E-05;1168;180
Abigaëlle;2007;f;7;0.000234828;705;463
Abigaëlle;2008;f;6;0.000196239;774;-69
Abigaëlle;2009;f;7;0.00022325;740;34
Abigaëlle;2010;f;3;9.21E-05;1170;-430
Abigaëlle;2011;f;2;6.13E-05;1369;-199
Abigaëlle;2012;f;3;9.01E-05;1199;170
Abigaëlle;2013;f;4;0.000119019;1078;121
Abigaëlle;2014;f;4;0.000114712;1117;-39
Abigaëlle;2015;f;5;0.000140615;1007;110
Abigaëlle;2016;f;5;0.000137336;1034;-27
Abigaëlle;2017;f;5;0.000138566;1017;17
Abigaëlle;2018;f;7;0.000191513;840;177
Abigaëlle;2019;f;3;8.34E-05;1350;-510
Abigaëlle;2020;f;4;0.000112167;1200;150
Abigaëlle;2021;f;5;0.000133672;1093;107
Abigaëlle;2022;f;4;0.000111832;1199;-106
Abigaïl;2002;f;1;3.55E-05;1216;
Abigaïl;2004;f;1;3.46E-05;1343;
Abigaïl;2005;f;1;3.46E-05;1348;-5
Abigaïl;2006;f;2;6.87E-05;1168;180
Abigaïl;2008;f;1;3.27E-05;1459;
Abigaïl;2009;f;3;9.57E-05;1106;353
Abigaïl;2011;f;2;6.13E-05;1369;
Abigaïl;2012;f;3;9.01E-05;1199;170
Abigaïl;2014;f;2;5.74E-05;1480;
Abigaïl;2016;f;2;5.49E-05;1546;
Abigaïl;2019;f;3;8.34E-05;1350;
Abigaïl;2020;f;1;2.80E-05;1906;-556
